ID,Skills
1,"SQL, Power BI, Excel, Tableau"
2,"Python, Deep Learning, NLP, Machine Learning, Pandas"
3,"Git, System Design, Java, Spring Boot, REST APIs, Docker"
4,"TensorFlow, MLOps, Keras"
5,"REST APIs, Agile, Spring Boot, System Design, Git, Java"
6,"Data Cleaning, Power BI"
7,"System Design, Spring Boot"
8,"Product Roadmap, User Stories"
9,"SQL, Data Cleaning, Power BI, Reporting"
10,"Computer Vision, Python"
11,"Data Cleaning, Excel"
12,"Power BI, Reporting"
13,"Product Roadmap, User Stories, Stakeholder Management, Scrum"
14,"PyTorch, MLOps, Python, TensorFlow, Keras, Cloud"
15,"MLOps, Keras, Computer Vision"
16,"NLP, Machine Learning, Python"
17,"Power BI, Reporting, Excel, Data Cleaning"
18,"Power BI, Excel, SQL, Tableau"
19,"Product Roadmap, Stakeholder Management, Scrum"
20,"Machine Learning, Python, SQL, Statistics, NLP"
21,"Computer Vision, Cloud, Keras, MLOps, Python"
22,"NLP, Machine Learning, Statistics, SQL, Deep Learning, Pandas"
23,"Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories"
24,"Reporting, Tableau, Data Cleaning, Power BI, SQL"
25,"Reporting, Power BI, Data Cleaning, SQL"
26,"Computer Vision, MLOps, Cloud, Keras, PyTorch"
27,"Agile, Stakeholder Management, Scrum, User Stories"
28,"Agile, Stakeholder Management, User Stories"
29,"Scrum, Product Roadmap, User Stories, Stakeholder Management, Agile"
30,"Data Cleaning, SQL, Reporting"
31,"Stakeholder Management, Product Roadmap, User Stories, Agile"
32,"SQL, Pandas"
33,"Statistics, Python, Pandas, SQL, Machine Learning"
34,"Spring Boot, Agile"
35,"PyTorch, TensorFlow, Keras, Cloud, Computer Vision"
36,"Deep Learning, SQL, Python"
37,"Statistics, Machine Learning, Deep Learning, Pandas, NLP"
38,"Spring Boot, Agile, Java, System Design"
39,"Agile, Product Roadmap, User Stories, Scrum"
40,"Java, Agile, Git"
41,"Scrum, Stakeholder Management, Agile"
42,"Python, Statistics, Machine Learning, NLP"
43,"Reporting, Tableau, SQL, Power BI, Excel"
44,"Deep Learning, Machine Learning, NLP, Python"
45,"System Design, Git, Java, Spring Boot, Docker, Agile"
46,"Power BI, SQL, Data Cleaning, Excel"
47,"Computer Vision"
48,"Python, Cloud, PyTorch, MLOps, Computer Vision"
49,"Statistics, Machine Learning, SQL, NLP"
50,"Pandas, SQL, Python, NLP, Deep Learning"
51,"Agile, REST APIs, Docker, System Design, Git, Spring Boot"
52,"Stakeholder Management, Scrum"
53,"Scrum, Agile, User Stories, Stakeholder Management"
54,"Product Roadmap, Agile, Scrum, Stakeholder Management"
55,"Python, NLP, Pandas"
56,"Power BI, Reporting, Tableau, Excel"
57,"Deep Learning, Machine Learning, Pandas"
58,"SQL, Pandas, Machine Learning, Deep Learning, Statistics, NLP, Python"
59,"Spring Boot, System Design, Docker, REST APIs"
60,"PyTorch, Computer Vision, Cloud, Keras, TensorFlow, Python"
61,"Excel, Tableau, Data Cleaning, Reporting, SQL"
62,"System Design, Docker, Git, REST APIs"
63,"Deep Learning, Pandas, NLP, Python"
64,"MLOps, Python, Keras, TensorFlow, Cloud"
65,"PyTorch, Computer Vision, Python, Keras"
66,"Data Cleaning, SQL, Power BI, Reporting, Tableau"
67,"Python, Deep Learning, Machine Learning"
68,"Spring Boot, REST APIs, Git, Docker, Java"
69,"Statistics, Machine Learning, NLP, SQL, Deep Learning"
70,"System Design, Java, Spring Boot, REST APIs, Git"
71,"Java, System Design"
72,"Agile, Scrum, Product Roadmap, User Stories, Stakeholder Management"
73,"Keras, Computer Vision, Cloud, MLOps"
74,"Scrum, Stakeholder Management, User Stories"
75,"Reporting, SQL"
76,"Python, PyTorch, Computer Vision"
77,"Excel, Data Cleaning, Reporting, SQL"
78,"Stakeholder Management, User Stories, Product Roadmap, Scrum, Agile"
79,"Reporting, Data Cleaning, SQL, Tableau, Excel"
80,"System Design, Java, Git, Spring Boot"
81,"Python, MLOps, TensorFlow, PyTorch"
82,"Stakeholder Management, Scrum, Agile, Product Roadmap"
83,"User Stories, Agile, Product Roadmap"
84,"Scrum, Agile"
85,"System Design, REST APIs, Git, Docker, Java"
86,"NLP, Statistics, Pandas"
87,"Machine Learning, SQL, NLP, Deep Learning, Statistics"
88,"Power BI, Reporting, SQL"
89,"Computer Vision, MLOps"
90,"Excel, SQL, Tableau"
91,"REST APIs, Spring Boot, Agile, Java, Docker"
92,"Java, Spring Boot, System Design"
93,"SQL, NLP, Python"
94,"Stakeholder Management, Scrum, User Stories, Agile, Product Roadmap"
95,"Tableau, Power BI, Data Cleaning"
96,"SQL, Python, NLP, Statistics, Pandas, Machine Learning"
97,"Java, Docker, System Design"
98,"SQL, Deep Learning, NLP, Pandas, Python, Statistics"
99,"Statistics"
100,"Machine Learning, NLP, Pandas, Python"
