ID,Category,Skills
1,Data Analyst,"SQL, Excel, Power BI, Reporting, Data Cleaning, Tableau"
2,Data Analyst,"Statistics, Pandas, SQL, Machine Learning, NLP, Deep Learning, Python"
3,Software Engineer,"System Design, Agile, Git, Docker, Java"
4,ML Engineer,"Python, Computer Vision, Keras, MLOps, TensorFlow"
5,Software Engineer,"REST APIs, Agile, Docker, System Design, Spring Boot, Git"
6,Data Analyst,"Excel, SQL, Power BI, Data Cleaning, Reporting, Tableau"
7,Software Engineer,"REST APIs, Agile, Docker, Git, Java, Spring Boot, System Design"
8,Product Manager,"Stakeholder Management, Agile, User Stories, Product Roadmap"
9,Data Analyst,"Excel, Power BI, Reporting, Tableau, Data Cleaning"
10,ML Engineer,"MLOps, Python, Keras, PyTorch"
11,Data Analyst,"Tableau, SQL, Power BI, Reporting, Excel, Data Cleaning"
12,Data Analyst,"Excel, SQL, Reporting, Data Cleaning"
13,Product Manager,"Agile, User Stories, Stakeholder Management"
14,ML Engineer,"PyTorch, Computer Vision, Keras"
15,ML Engineer,"PyTorch, Python, Computer Vision, Keras, TensorFlow, MLOps, Cloud"
16,Data Analyst,"Deep Learning, SQL, NLP, Pandas"
17,Data Analyst,"Data Cleaning, Power BI, SQL, Tableau, Reporting"
18,Data Analyst,"SQL, Data Cleaning, Tableau, Reporting, Power BI, Excel"
19,Product Manager,"Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories"
20,Data Analyst,"Pandas, Machine Learning, NLP, Python, Deep Learning, SQL, Statistics"
21,ML Engineer,"Computer Vision, Cloud, Keras"
22,Data Analyst,"Python, SQL, Deep Learning, NLP, Machine Learning"
23,Product Manager,"User Stories, Scrum, Product Roadmap, Stakeholder Management, Agile"
24,Data Analyst,"Excel, Tableau, Reporting, Power BI, SQL, Data Cleaning"
25,Data Analyst,"Reporting, SQL, Tableau"
26,ML Engineer,"TensorFlow, MLOps, Keras, Computer Vision"
27,Product Manager,"Product Roadmap, Agile, Scrum, Stakeholder Management"
28,Product Manager,"Stakeholder Management, User Stories, Agile, Scrum, Product Roadmap"
29,Product Manager,"User Stories, Product Roadmap, Agile, Stakeholder Management, Scrum"
30,Data Analyst,"Data Cleaning, SQL, Reporting, Tableau"
31,Product Manager,"Scrum, Product Roadmap, Stakeholder Management, User Stories, Agile"
32,Data Analyst,"Pandas, NLP, SQL, Statistics, Python, Machine Learning, Deep Learning"
33,Data Analyst,"Statistics, Machine Learning, NLP, SQL, Pandas, Deep Learning"
34,Software Engineer,"REST APIs, Git, Agile, Docker, Spring Boot"
35,ML Engineer,"Cloud, Computer Vision, Python"
36,Data Analyst,"Pandas, Machine Learning, Python, SQL, NLP"
37,Data Analyst,"SQL, Pandas, Deep Learning, NLP"
38,Software Engineer,"System Design, Spring Boot, Agile, REST APIs"
39,Product Manager,"Stakeholder Management, Scrum, Product Roadmap"
40,Software Engineer,"System Design, REST APIs, Java, Git"
41,Product Manager,"Scrum, Agile, Stakeholder Management, User Stories, Product Roadmap"
42,Data Analyst,"Pandas, Deep Learning, NLP, SQL, Machine Learning, Statistics"
